"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2017","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.87"
"2018","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.9"
"2019","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.0775"
"2020","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.44"
"2021","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.0025"
"2022","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.6975"
"2001 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.915811344230585"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.916894088291098"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.445910607871976"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.137566937729314"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.086968503113713"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.481308321516568"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.43616878163548"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.972704698085071"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.829334866090772"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.513487313575995"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.235805319552075"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.638861955633178"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.326674258335675"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.387858540282854"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.20798841762444"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.537386930991699"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.332534450425211"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.469896405521572"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.020285686504719"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.59369070780081"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.328192303295513"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.985195365690396"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.147363433483681"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.256012388825454"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.931256232973791"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.56499135297766"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.588172317241513"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.079753035028165"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.837489283147846"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.736762697916673"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.678016121988705"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.267727689164023"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","19.686036082669641"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.894241319655308"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.359835317949749"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.504864614482965"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","19.46623669744455"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.230768273090462"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.050137796551397"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.83672206851508"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","21.226053950019331"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.762762647346495"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.014087488591095"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.262264308779368"
