Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,7.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,8.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,8.1999999999999993
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,11.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,12.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,12.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,12.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,13.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,14.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,15.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,16.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,17.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,17.899999999999999
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,All 18+,Percentage,Units,Normal value,18.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,17.600000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,17.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,19.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,19.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,19.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,21.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,22.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,28.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,25.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,27.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,18-24,Percentage,Units,Normal value,26.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,15.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,17.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,21.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,21.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,20.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,20.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,22.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,26
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,26.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,25.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,25-34,Percentage,Units,Normal value,27.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,15.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,17.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,16.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,17.399999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,16.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,16
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,17.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,18.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,21.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,23.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,35-44,Percentage,Units,Normal value,23.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,14.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,15.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,16.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,15.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,15.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,15.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,18.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,18.600000000000001
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,21.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,22
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,45-54,Percentage,Units,Normal value,20.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,55-64,Percentage,Units,Normal value,13.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,55-64,Percentage,Units,Normal value,13.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,55-64,Percentage,Units,Normal value,12.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South West,55-64,Percentage,Units,Normal value,12
