"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","21.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","25.7"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","27.9"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","13"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","14"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","13.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","15"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","15.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","15.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","16.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Asian","","Percentage","Units","Normal value","18.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","9.4"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","9.3"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","12.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","14.1"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","13.4"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","12.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","17.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Chinese","","Percentage","Units","Normal value","17.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","12.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","12.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","16.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","14.7"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","13.7"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","16.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Black","","Percentage","Units","Normal value","19.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","15.4"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","19.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","21.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","22.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","23"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","21.5"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","24.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Other","","Percentage","Units","Normal value","24.1"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","England","","","White","","Percentage","Units","Normal value","12.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","England","","","White","","Percentage","Units","Normal value","12.8"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","England","","","White","","Percentage","Units","Normal value","13.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","England","","","White","","Percentage","Units","Normal value","13.6"
