"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2021","","","England","","","","Poland","Percentage","Units","Normal value","21.1"
"2020","","","England","","","","Poland","Percentage","Units","Normal value","23.9"
"2019","","","England","","","","Poland","Percentage","Units","Normal value","23.9"
"2018","","","England","","","","Poland","Percentage","Units","Normal value","24.8"
"2017","","","England","","","","Poland","Percentage","Units","Normal value","27.4"
"2016","","","England","","","","Poland","Percentage","Units","Normal value","29.6"
"2015","","","England","","","","Poland","Percentage","Units","Normal value","30.3"
"2014","","","England","","","","Poland","Percentage","Units","Normal value","32.3"
"2021","","","England","","","","England","Percentage","Units","Normal value","13.4"
"2020","","","England","","","","England","Percentage","Units","Normal value","14"
"2019","","","England","","","","England","Percentage","Units","Normal value","14"
"2018","","","England","","","","England","Percentage","Units","Normal value","14.6"
"2017","","","England","","","","England","Percentage","Units","Normal value","14.9"
"2016","","","England","","","","England","Percentage","Units","Normal value","15.6"
"2015","","","England","","","","England","Percentage","Units","Normal value","17.2"
"2014","","","England","","","","England","Percentage","Units","Normal value","18.1"
"2021","","","England","","","","Northern Ireland","Percentage","Units","Normal value","10.6"
"2020","","","England","","","","Northern Ireland","Percentage","Units","Normal value","9.4"
"2019","","","England","","","","Northern Ireland","Percentage","Units","Normal value","13.2"
"2018","","","England","","","","Northern Ireland","Percentage","Units","Normal value","11.2"
"2017","","","England","","","","Northern Ireland","Percentage","Units","Normal value","16.1"
"2016","","","England","","","","Northern Ireland","Percentage","Units","Normal value","14.7"
"2015","","","England","","","","Northern Ireland","Percentage","Units","Normal value","16.3"
"2014","","","England","","","","Northern Ireland","Percentage","Units","Normal value","18.5"
"2021","","","England","","","","Scotland","Percentage","Units","Normal value","13.6"
"2020","","","England","","","","Scotland","Percentage","Units","Normal value","13.7"
"2019","","","England","","","","Scotland","Percentage","Units","Normal value","14.8"
"2018","","","England","","","","Scotland","Percentage","Units","Normal value","13.6"
"2017","","","England","","","","Scotland","Percentage","Units","Normal value","15.2"
"2016","","","England","","","","Scotland","Percentage","Units","Normal value","15.6"
"2015","","","England","","","","Scotland","Percentage","Units","Normal value","16.4"
"2014","","","England","","","","Scotland","Percentage","Units","Normal value","18.7"
"2021","","","England","","","","Wales","Percentage","Units","Normal value","9.1"
"2020","","","England","","","","Wales","Percentage","Units","Normal value","11.4"
"2019","","","England","","","","Wales","Percentage","Units","Normal value","10.1"
"2018","","","England","","","","Wales","Percentage","Units","Normal value","11.3"
"2017","","","England","","","","Wales","Percentage","Units","Normal value","12.3"
"2016","","","England","","","","Wales","Percentage","Units","Normal value","11.6"
"2015","","","England","","","","Wales","Percentage","Units","Normal value","13.3"
"2014","","","England","","","","Wales","Percentage","Units","Normal value","13"
"2021","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","6.4"
"2020","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","9.7"
"2019","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","11"
"2018","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","10.4"
"2017","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","13.2"
"2016","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","18.5"
"2015","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","13.2"
"2014","","","England","","","","UK (but do not know the country)","Percentage","Units","Normal value","19.6"
"2021","","","England","","","","Other","Percentage","Units","Normal value","12"
"2020","","","England","","","","Other","Percentage","Units","Normal value","13.2"
"2019","","","England","","","","Other","Percentage","Units","Normal value","14"
"2018","","","England","","","","Other","Percentage","Units","Normal value","14.4"
"2017","","","England","","","","Other","Percentage","Units","Normal value","15.2"
"2016","","","England","","","","Other","Percentage","Units","Normal value","15.3"
"2015","","","England","","","","Other","Percentage","Units","Normal value","16.1"
"2014","","","England","","","","Other","Percentage","Units","Normal value","16.7"
"2021","","","United Kingdom","","","","India","Percentage","Units","Normal value","4.3"
"2020","","","United Kingdom","","","","India","Percentage","Units","Normal value","5"
"2019","","","United Kingdom","","","","India","Percentage","Units","Normal value","5.3"
"2018","","","United Kingdom","","","","India","Percentage","Units","Normal value","5.3"
"2017","","","United Kingdom","","","","India","Percentage","Units","Normal value","4.7"
"2016","","","United Kingdom","","","","India","Percentage","Units","Normal value","5.1"
"2015","","","United Kingdom","","","","India","Percentage","Units","Normal value","5.6"
"2014","","","United Kingdom","","","","India","Percentage","Units","Normal value","5.7"
"2021","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","10.5"
"2020","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","12.8"
"2019","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","13.8"
"2018","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","12.3"
"2017","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","12.9"
"2016","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","15"
"2015","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","15.4"
"2014","","","United Kingdom","","","","Republic of Ireland","Percentage","Units","Normal value","17.2"
"2021","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","11.1"
"2020","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","10.8"
"2019","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","9.4"
"2018","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","10.7"
"2017","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","10"
"2016","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","10.1"
"2015","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","9.5"
"2014","","","United Kingdom","","","","Pakistan","Percentage","Units","Normal value","13.5"
"2021","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","20.9"
"2020","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","24.5"
"2019","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","24.5"
"2018","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","25.9"
"2017","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","27.1"
"2016","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","29.1"
"2015","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","31.1"
"2014","","","United Kingdom","","","","Poland","Percentage","Units","Normal value","32.6"
"2021","","","United Kingdom","","","","England","Percentage","Units","Normal value","13.3"
"2020","","","United Kingdom","","","","England","Percentage","Units","Normal value","14"
"2019","","","United Kingdom","","","","England","Percentage","Units","Normal value","13.9"
"2018","","","United Kingdom","","","","England","Percentage","Units","Normal value","14.6"
"2017","","","United Kingdom","","","","England","Percentage","Units","Normal value","14.8"
"2016","","","United Kingdom","","","","England","Percentage","Units","Normal value","15.6"
"2015","","","United Kingdom","","","","England","Percentage","Units","Normal value","17.1"
"2014","","","United Kingdom","","","","England","Percentage","Units","Normal value","18.1"
"2021","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","13.5"
"2020","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","13.9"
"2019","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","14.8"
"2018","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","14.1"
"2017","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","15.5"
"2016","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","17"
"2015","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","17.6"
"2014","","","United Kingdom","","","","Northern Ireland","Percentage","Units","Normal value","17.7"
"2021","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","15.5"
"2020","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","16.2"
"2019","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","15.8"
"2018","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","16.5"
"2017","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","16.8"
"2016","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","18.2"
"2015","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","19.4"
"2014","","","United Kingdom","","","","Scotland","Percentage","Units","Normal value","20.6"
"2021","","","United Kingdom","","","","Wales","Percentage","Units","Normal value","13.3"
"2020","","","United Kingdom","","","","Wales","Percentage","Units","Normal value","14.8"
"2019","","","United Kingdom","","","","Wales","Percentage","Units","Normal value","15.2"
"2018","","","United Kingdom","","","","Wales","Percentage","Units","Normal value","15.4"
"2017","","","United Kingdom","","","","Wales","Percentage","Units","Normal value","15.7"
"2016","","","United Kingdom","","","","Wales","Percentage","Units","Normal value","16.2"
